"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 20 16:47:23 IST 2020","Sun Sep 20 16:47:24 IST 2020","147","TestCases","test_TC1","","","","test_fail",""
"broken","Sun Sep 20 16:47:56 IST 2020","Sun Sep 20 16:47:56 IST 2020","27","TestCases","test_TC1","","","","test_pass",""
